gene_symbol,log2fc,pvalue,padj,diffexpressed,calcium_category,sig,direction
STIMATE,0.09737118027823528,0.5018306397663991,0.5018306397663991,NS,calcium_channels,FALSE,NS
S100P,0.27521092098617905,0.5114382010761378,0.5114382010761378,NS,calcium_binding,FALSE,NS
S100G,0.09933160741049622,0.5136376859050483,0.5136376859050483,NS,calcium_binding,FALSE,NS
CACNA2D1-AS1,-0.04527006395077082,0.5146286804876503,0.5146286804876503,NS,calcium_channels,FALSE,NS
MICU2,0.05676097813067055,0.518066129439955,0.518066129439955,NS,calcium_transport,FALSE,NS
CACNA2D3,0.4122707227020908,0.5354275302060416,0.5354275302060416,NS,calcium_channels,FALSE,NS
ORAI1,-0.10969640946812804,0.5443308817621866,0.5443308817621866,NS,calcium_channels,FALSE,NS
CACNG5,-0.25159753616887076,0.5565985024784925,0.5565985024784925,NS,calcium_channels,FALSE,NS
S100A2,0.15211642741249137,0.5579062330719989,0.5579062330719989,NS,calcium_binding,FALSE,NS
CACNA2D3-AS1,0.24067998186618164,0.567652870923965,0.567652870923965,NS,calcium_channels,FALSE,NS
ATP2B4,0.1260449529044412,0.5706672679461913,0.5706672679461913,NS,calcium_transport,FALSE,NS
ATP2B2,0.18999162276657605,0.5772336391812789,0.5772336391812789,NS,calcium_transport,FALSE,NS
CAMKK1,-0.08752121197666028,0.5793790981864433,0.5793790981864433,NS,calcium_binding,FALSE,NS
ATP2A2,-0.07321638017378106,0.5827810551692347,0.5827810551692347,NS,calcium_transport,FALSE,NS
S100A5,-0.10142806805881766,0.5955489205069437,0.5955489205069437,NS,calcium_binding,FALSE,NS
CACNA1C-IT3,-0.05503419914931218,0.6016582475602112,0.6016582475602112,NS,calcium_channels,FALSE,NS
CALML4,0.09263953845472238,0.6264905998405403,0.6264905998405403,NS,calcium_binding,FALSE,NS
ATP2C1,0.09102040745254228,0.6389534689789738,0.6389534689789738,NS,calcium_transport,FALSE,NS
TRPV4,-0.03155593659752742,0.6407597943764729,0.6407597943764729,NS,calcium_channels,FALSE,NS
ATP2A1-AS1,-0.08567463539121117,0.6460208356712384,0.6460208356712384,NS,calcium_transport,FALSE,NS
SLC8A2,0.13564520185208023,0.6480248856307538,0.6480248856307538,NS,calcium_transport,FALSE,NS
CACNG2-DT,-0.2034561911765763,0.6526174590842806,0.6526174590842806,NS,calcium_channels,FALSE,NS
TRPM2-AS,0.01241219289399815,0.6567541763414709,0.6567541763414709,NS,calcium_channels,FALSE,NS
MICU1,0.0601962188423833,0.6675849965737766,0.6675849965737766,NS,calcium_transport,FALSE,NS
ATP2B3,0.0977535900610762,0.669582660280072,0.669582660280072,NS,calcium_transport,FALSE,NS
CACNA2D4,0.00973388626609478,0.6714379120857652,0.6714379120857652,NS,calcium_channels,FALSE,NS
CAMKK2,0.11598811144377898,0.6792621065298153,0.6792621065298153,NS,calcium_binding,FALSE,NS
CACNA1F,-0.04247675814491875,0.6841356721112519,0.6841356721112519,NS,calcium_channels,FALSE,NS
CACNG3,0.1965057068196948,0.6906594214008863,0.6906594214008863,NS,calcium_channels,FALSE,NS
S100B,-0.1784759008848903,0.6910369219289241,0.6910369219289241,NS,calcium_binding,FALSE,NS
MICU3,0.08251927830620465,0.701999261307729,0.701999261307729,NS,calcium_transport,FALSE,NS
CALML6,0.04736714470714319,0.7025223560906011,0.7025223560906011,NS,calcium_binding,FALSE,NS
TRPC7,0.07023377147387616,0.7340622872131348,0.7340622872131348,NS,calcium_channels,FALSE,NS
CACNA2D1,0.17765011927064764,0.7397710935006947,0.7397710935006947,NS,calcium_channels,FALSE,NS
TRPC1,0.04389988204944594,0.7430792563284081,0.7430792563284081,NS,calcium_channels,FALSE,NS
S100PBP,0.0773456347094638,0.7493327960962062,0.7493327960962062,NS,calcium_binding,FALSE,NS
STIMATE-MUSTN1,0.05011510013460572,0.7523704563664232,0.7523704563664232,NS,calcium_channels,FALSE,NS
S100A16,-0.0943355548880885,0.7580041055116178,0.7580041055116178,NS,calcium_binding,FALSE,NS
MCU,0.09018092280418016,0.7624587293540551,0.7624587293540551,NS,calcium_transport,FALSE,NS
CACNA1D,-0.06308960584804732,0.7799939395875014,0.7799939395875014,NS,calcium_channels,FALSE,NS
TRPV2,0.0833689860006851,0.7818935712095078,0.7818935712095078,NS,calcium_channels,FALSE,NS
STIM2-AS1,-0.0550528518585278,0.7903560252387184,0.7903560252387184,NS,calcium_channels,FALSE,NS
TRPC2,-0.01565550747500276,0.8023217609346489,0.8023217609346489,NS,calcium_channels,FALSE,NS
S100A1,0.09966273325615813,0.8135423751698221,0.8135423751698221,NS,calcium_binding,FALSE,NS
CAMK4,0.0513223313384876,0.816718833284974,0.816718833284974,NS,calcium_binding,FALSE,NS
TRPV3,0.05232450774467002,0.8231040289241405,0.8231040289241405,NS,calcium_channels,FALSE,NS
CACNG6,-0.0902691153403399,0.8496499550229384,0.8496499550229384,NS,calcium_channels,FALSE,NS
CAMKMT,0.01232109060566542,0.858063574202942,0.858063574202942,NS,calcium_binding,FALSE,NS
CAMK1D,0.05013465007589888,0.8685165328556702,0.8685165328556702,NS,calcium_binding,FALSE,NS
ORAI2,-0.02043729669635462,0.8773955830916511,0.8773955830916511,NS,calcium_channels,FALSE,NS
ORAI3,-0.05389082902506097,0.8970170366737423,0.8970170366737423,NS,calcium_channels,FALSE,NS
S100A4,-0.03375866320912629,0.9025254444033624,0.9025254444033624,NS,calcium_binding,FALSE,NS
CACNB3,-0.01809868603954764,0.9098252459572136,0.9098252459572136,NS,calcium_channels,FALSE,NS
STIM2,0.01050787965300014,0.9189931446150088,0.9189931446150088,NS,calcium_channels,FALSE,NS
CAND2,0.04932992024527684,0.9269615216633338,0.9269615216633338,NS,calcium_binding,FALSE,NS
TRPC4,-0.02434735565146253,0.9356832332163209,0.9356832332163209,NS,calcium_channels,FALSE,NS
CAMK2N1,-0.02203074380100055,0.9430188695501625,0.9430188695501625,NS,calcium_binding,FALSE,NS
MCUR1,-0.00984934948138493,0.9535660020422232,0.9535660020422232,NS,calcium_transport,FALSE,NS
TRPV1,0.0076916770675799,0.9631221808547824,0.9631221808547824,NS,calcium_channels,FALSE,NS
CAND1,0.00561534450344214,0.9762145784096116,0.9762145784096116,NS,calcium_binding,FALSE,NS
ATP2B2-IT2,0,1,1,NS,calcium_transport,FALSE,NS
S100A7A,0,1,1,NS,calcium_binding,FALSE,NS
CALML5,0,1,1,NS,calcium_binding,FALSE,NS
S100A8,0,1,1,NS,calcium_binding,FALSE,NS
S100A9,0,1,1,NS,calcium_binding,FALSE,NS
S100A12,0,1,1,NS,calcium_binding,FALSE,NS
CALML3,0,1,1,NS,calcium_binding,FALSE,NS
